Run	Factor A	Factor B	Factor C	Factor D	Response 1 (Experimental)	Response 2 (Experimental)
1	110	7	50	10	1127.19	1321.65
2	85	13	50	10	1024.97	1339.35
3	101	1	500	60	1950.00	2878.90
4	101	1	500	60	2223.17	2989.00
5	50	10	50	10	1845.60	2690.50
6	50	10	50	10	1846.18	2689.91
7	70	10	208	60	2073.90	2974.51
8	70	10	208	60	2074.517	2970.82
9	85	1	223	60	2298.62	2972.98
10	85	1	223	60	2298.65	2972.94
11	101	10	208	60	2322.86	2987.28
12	101	10	208	60	2322.83	2987.31
13	110	7	208	60	2752.80	3129.61
14	110	7	208	60	2752.84	3129.57
15	50	7	100	10	2525.27	3441.19
16	50	7	100	10	2525.91	3440.43
17	85	1	208	60	3762.88	5752.81
18	85	1	208	60	3764.53	5752.15
19	101	1	223	60	4663.04	5921.49
20	101	1	223	60	4663.77	5921.61
21	110	7	100	10	1264.44	1456.22
22	110	7	100	10	1265.88	1458.13
23	70	3	250	60	2951.90	2965.54
24	70	3	250	60	2955.83	2966.91
25	70	3	311	60	2590.79	3517.86
